Date,Restrict_Mass_Gatherings,Lockdown,No Measure
3/9/2020,117,117,117
3/10/2020,215,215,215
3/11/2020,311,311,311
3/12/2020,406,406,406
3/13/2020,503,503,503
3/14/2020,603,603,603
3/15/2020,706,706,706
3/16/2020,814,814,814
3/17/2020,925,925,925
3/18/2020,1040,1040,1040
3/19/2020,1159,1159,1159
3/20/2020,1282,1282,1282
3/21/2020,1408,1408,1408
3/22/2020,1537,1537,1537
3/23/2020,1669,1669,1669
3/24/2020,1804,1804,1804
3/25/2020,1941,1941,1941
3/26/2020,2079,2079,2079
3/27/2020,2220,2220,2220
3/28/2020,2362,2362,2362
3/29/2020,2505,2505,2505
3/30/2020,2649,2649,2649
3/31/2020,2793,2793,2793
4/1/2020,2937,2937,2937
4/2/2020,3081,3081,3081
4/3/2020,3225,3225,3225
4/4/2020,3368,3368,3368
4/5/2020,3510,3510,3510
4/6/2020,3650,3650,3650
4/7/2020,3789,3789,3789
4/8/2020,3927,3927,3927
4/9/2020,4062,4062,4062
4/10/2020,4196,4196,4196
4/11/2020,4327,4327,4327
4/12/2020,4455,4455,4455
4/13/2020,4581,4581,4581
4/14/2020,4704,4704,4704
4/15/2020,4824,4824,4824
4/16/2020,4941,4941,4941
4/17/2020,5056,5056,5056
4/18/2020,5167,5167,5167
4/19/2020,5274,5274,5274
4/20/2020,5379,5379,5379
4/21/2020,5480,5480,5480
4/22/2020,5578,5578,5578
4/23/2020,5673,5673,5673
4/24/2020,5764,5764,5764
4/25/2020,5852,5852,5852
4/26/2020,5937,5937,5937
4/27/2020,6019,6019,6019
4/28/2020,6097,6097,6097
4/29/2020,6172,6172,6172
4/30/2020,6244,6244,6244
5/1/2020,6313,6313,6313
5/2/2020,6379,6379,6379
5/3/2020,6442,6442,6442
5/4/2020,6503,6503,6503
5/5/2020,6560,6560,6560
5/6/2020,6615,6615,6615
5/7/2020,6667,6667,6667
5/8/2020,6717,6717,6717
5/9/2020,6764,6764,6764
5/10/2020,6809,6809,6809
5/11/2020,6851,6851,6851
5/12/2020,6891,6891,6891
5/13/2020,6930,6930,6930
5/14/2020,6966,6966,6966
5/15/2020,7000,7000,7000
5/16/2020,7032,7032,7032
5/17/2020,7063,7063,7063
5/18/2020,7092,7092,7092
5/19/2020,7119,7119,7119
5/20/2020,7144,7144,7144
5/21/2020,7168,7168,7168
5/22/2020,7191,7191,7191
5/23/2020,7212,7212,7212
5/24/2020,7233,7233,7233
5/25/2020,7251,7251,7251
5/26/2020,7269,7269,7269
5/27/2020,7286,7286,7286
5/28/2020,7301,7301,7301
5/29/2020,7316,7316,7316
5/30/2020,7329,7329,7329
5/31/2020,7342,7342,7342
6/1/2020,7354,7354,7354
6/2/2020,7365,7365,7365
6/3/2020,7376,7376,7376
6/4/2020,7385,7385,7385
6/5/2020,7394,7394,7394
6/6/2020,7403,7403,7403
6/7/2020,7411,7411,7411
6/8/2020,7418,7418,7418
6/9/2020,7425,7425,7425
6/10/2020,7431,7431,7431
6/11/2020,7437,7437,7437
6/12/2020,7443,7443,7443
6/13/2020,7448,7448,7448
6/14/2020,7453,7453,7453
6/15/2020,7457,7457,7457
6/16/2020,7461,7461,7461
6/17/2020,7465,7465,7465
6/18/2020,7469,7469,7469
6/19/2020,7472,7472,7472
6/20/2020,7475,7475,7475
6/21/2020,7478,7478,7478
6/22/2020,7480,7480,7480
6/23/2020,7483,7483,7483
6/24/2020,7485,7485,7485
6/25/2020,7487,7487,7487
6/26/2020,7489,7489,7489
6/27/2020,7491,7491,7491
6/28/2020,7492,7492,7492
6/29/2020,7494,7494,7494
6/30/2020,7495,7495,7495
7/1/2020,7497,7496,7497
7/2/2020,7498,7498,7498
7/3/2020,7499,7499,7499
7/4/2020,7501,7500,7501
7/5/2020,7502,7501,7502
7/6/2020,7503,7501,7503
7/7/2020,7505,7502,7505
7/8/2020,7506,7503,7506
7/9/2020,7508,7504,7508
7/10/2020,7509,7504,7509
7/11/2020,7511,7505,7511
7/12/2020,7512,7505,7512
7/13/2020,7514,7506,7514
7/14/2020,7515,7506,7515
7/15/2020,7517,7507,7517
7/16/2020,7518,7507,7518
7/17/2020,7520,7507,7520
7/18/2020,7522,7508,7522
7/19/2020,7523,7508,7523
7/20/2020,7525,7508,7525
7/21/2020,7527,7508,7527
7/22/2020,7528,7509,7528
7/23/2020,7530,7509,7530
7/24/2020,7532,7509,7532
7/25/2020,7533,7509,7533
7/26/2020,7535,7509,7535
7/27/2020,7537,7509,7537
7/28/2020,7539,7509,7539
7/29/2020,7540,7510,7540
7/30/2020,7542,7510,7542
7/31/2020,7544,7510,7544
8/1/2020,7546,7510,7546
8/2/2020,7548,7510,7548
8/3/2020,7550,7510,7550
8/4/2020,7551,7510,7551
8/5/2020,7553,7510,7553
8/6/2020,7555,7510,7555
8/7/2020,7557,7510,7557
8/8/2020,7559,7510,7559
8/9/2020,7561,7510,7561
8/10/2020,7563,7510,7563
8/11/2020,7565,7510,7565
8/12/2020,7567,7510,7567
8/13/2020,7569,7511,7569
8/14/2020,7571,7511,7571
8/15/2020,7573,7511,7573
8/16/2020,7575,7511,7575
8/17/2020,7577,7511,7577
8/18/2020,7579,7511,7579
8/19/2020,7581,7511,7581
8/20/2020,7583,7511,7583
8/21/2020,7585,7511,7585
8/22/2020,7587,7511,7587
8/23/2020,7590,7511,7590
8/24/2020,7592,7511,7592
8/25/2020,7594,7511,7594
8/26/2020,7596,7511,7596
8/27/2020,7598,7511,7598
8/28/2020,7600,7511,7600
8/29/2020,7602,7511,7602
8/30/2020,7605,7511,7605
8/31/2020,7607,7511,7607
9/1/2020,7609,7511,7609
9/2/2020,7611,7511,7611
9/3/2020,7613,7511,7613
9/4/2020,7616,7511,7616
9/5/2020,7618,7511,7618
9/6/2020,7620,7511,7620
9/7/2020,7622,7511,7622
9/8/2020,7625,7511,7625
9/9/2020,7627,7511,7627
9/10/2020,7629,7511,7629
9/11/2020,7632,7511,7632
9/12/2020,7634,7511,7634
9/13/2020,7636,7511,7636
9/14/2020,7638,7511,7638
9/15/2020,7641,7511,7641
